query,location_canonical,kind,state,lat,lon,population,confidence
parking florida state fairgrounds,Florida,state,FL,,,0,0.93
boat tour near sarasota fla,Sarasota,city,FL,27.33643,-82.53065,55118,0.95
eyebrow tattoos in pasco county,Pasco,city,WA,46.23958,-119.10057,69451,0.95
venice east,Venice,city,FL,27.09978,-82.45426,22211,0.95
bowlero florida,Florida,state,FL,,,0,0.93
all inclusive hotel in florida,Florida,state,FL,,,0,0.93
south shire bay lagoon,Bay Village,city,OH,41.48477,-81.92208,15402,0.9
nfl tickets tampa bay buccaneers,Tampa,city,FL,27.94752,-82.45843,414547,0.95
massage bradenton florida,Bradenton,city,FL,27.49893,-82.57482,54437,0.95
florida aquarium and tampa zoo tikets,Tampa,city,FL,27.94752,-82.45843,414547,0.95
florida gennid,Florida,state,FL,,,0,0.93
florida gennie springs,Florida,state,FL,,,0,0.93
red light therapy in pinnelas county fl,,,,,,0,0.0
deals in sarasota,Sarasota,city,FL,27.33643,-82.53065,55118,0.95
florida first time learners permit practice tests,Florida,state,FL,,,0,0.93
florida wildlife safari,Florida,state,FL,,,0,0.93
real estate pre licensing florida,Florida,state,FL,,,0,0.93
bavaro punta cana all inclusive in dominican republic,Republic,city,MO,37.12005,-93.48019,16005,0.95
tampa bay at nigth,Tampa,city,FL,27.94752,-82.45843,414547,0.95
sauders village archabold ohio,Ohio,state,OH,,,0,0.93
hotels near oregon ohio,Oregon,city,OH,41.64366,-83.48688,20102,0.95
rental car colorado,Colorado,state,CO,,,0,0.93
tour in dominican republic,Republic,city,MO,37.12005,-93.48019,16005,0.95
kalahre,,,,,,0,0.0
sandsky ohio,Ohio,state,OH,,,0,0.93
salons toledo,Toledo,city,OH,41.66394,-83.55521,265638,0.95
q-zar toledo,Toledo,city,OH,41.66394,-83.55521,265638,0.95
kentucky aquariaum,Kentucky,state,KY,,,0,0.93
highland kansas,Highland,city,IN,41.55365,-87.45198,22936,0.95
golf courses in kansas,Kansas,state,KS,,,0,0.93
hotel lotus in kansas city missouri,Kansas City,city,KS,39.11417,-94.62746,152933,0.95
"area 15, las vegas",Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
arizona flower company,Arizona,state,AZ,,,0,0.93
antelope upper canyon tours,Antelope,city,CA,38.70824,-121.32995,45770,0.95
las vegas bv,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
arizona state park,Arizona,state,AZ,,,0,0.93
car rental in minnesota,Minnesota,state,MN,,,0,0.93
las vegas cupon,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
arizona wedding videogrpahy,Arizona,state,AZ,,,0,0.93
air bnb in arizona,Arizona,state,AZ,,,0,0.93
hotels for kids in phoenix,Phoenix,city,AZ,33.44838,-112.07404,1650070,0.95
hair cut tucson arizona,Tucson,city,AZ,32.22174,-110.92648,542629,0.95
las vagas pet shows,Las Vegas,city,NV,36.17497,-115.13722,641903,0.9
"eufala, ok",Eufaula,city,AL,31.89127,-85.14549,12596,0.9
"sattelighr beach, florida",Florida,state,FL,,,0,0.93
"fort smith, at",Fort Smith,city,AR,35.38592,-94.39855,88194,0.95
renaissance oklahoma,Oklahoma,state,OK,,,0,0.93
paradise beach water park passes,Paradise,city,CA,39.75961,-121.62192,26476,0.95
van buren arkansas,Van Buren,city,AR,35.43676,-94.34827,23081,0.95
muskogie oklahoma,Oklahoma,state,OK,,,0,0.93
dubai fragrances,,,,,,0,0.0
fishing west palm florida,Florida,state,FL,,,0,0.93
arkansas bounce,Arkansas,state,AR,,,0,0.93
weedon island kayak,,,,,,0,0.0
hotels fairfield,Fairfield,city,AL,33.48594,-86.91194,10907,0.95
"orquis exhibition, bronx ny",The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
hotel the gardens sonesta es suites new york,York,city,PA,39.9626,-76.72774,43992,0.95
mr. c new york - seaport    ✕this business has been claimed by the business owner or a representative.manage this business (permanently closed),York,city,PA,39.9626,-76.72774,43992,0.95
1 day cruise bahamas,Dayton,city,OH,39.75895,-84.19161,135512,0.9
north palm beach aesthetic,North Palm Beach,city,FL,26.81756,-80.08199,12015,0.95
la piel room,,,,,,0,0.0
mexico travel deals,Mexico,city,MO,39.16976,-91.88295,11660,0.95
"springfield, ohio",Springfield,city,IL,39.80172,-89.64371,114394,0.95
aqua petite spa myrtle beach,Myrtle Beach,city,SC,33.68906,-78.88669,31035,0.95
"wake island, pleasant grove, ca",Pleasant Grove,city,AL,33.49094,-86.97027,10260,0.95
put n bay ohio,Ohio,state,OH,,,0,0.93
boat rentals sacramento,Sacramento,city,CA,38.58157,-121.4944,524943,0.95
legoland california 1 day pass,California,city,MD,38.3004,-76.50745,11857,0.95
iowa state,Iowa,state,IA,,,0,0.93
transportation airport costa rica,,,,,,0,0.0
thompson brewery indiana,Indiana,city,PA,40.62146,-79.15253,14100,0.95
hotels grant oklahoma,Oklahoma,state,OK,,,0,0.93
knotts  barry soak city,,,,,,0,0.0
romantic beach hotel nassau county ny,,,,,,0,0.0
mangrove tunnel tours sarasota,Sarasota,city,FL,27.33643,-82.53065,55118,0.95
long beach ny tennis,Long Beach,city,MS,30.35048,-89.15282,15555,0.95
thc prescription louisiana,Louisiana,state,LA,,,0,0.93
face fillers in omaha,Omaha,city,NE,41.25626,-95.94043,486051,0.95
panama city beach shipwreck island,Panama City Beach,city,FL,30.17659,-85.80549,12624,0.95
spa treatments miami beach,Miami Beach,city,FL,25.79065,-80.13005,92312,0.95
weekend trip to galena  illinois,Illinois,state,IL,,,0,0.93
omaha henry dooley zoo,Omaha,city,NE,41.25626,-95.94043,486051,0.95
restaurants near wadsworth ohio,Wadsworth,city,OH,41.02561,-81.72985,21860,0.95
tour and boats sunset chicago,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
mountains virginia,Virginia,state,VA,,,0,0.93
botantical gardens atlanta ga,Atlanta,city,GA,33.749,-84.38798,510823,0.95
minusure gulf in cape coral florida,Cape Coral,city,FL,26.56285,-81.94953,175229,0.95
"oakland, ca airport parking",Oakland,city,NJ,41.01315,-74.26431,13165,0.95
chicago brewhouse,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
oak hollow golf course mckinney texas,McKinney,city,TX,33.19762,-96.61527,162898,0.95
texas car rental,Texas,state,TX,,,0,0.93
tacuba,,,,,,0,0.0
hifu lifting miami,Miami,city,FL,25.77427,-80.19366,487014,0.95
theater san francisco,San Francisco,city,CA,37.77493,-122.41942,827526,0.95
latin boat party cruise| new york city summer vibes,New York City,city,NY,40.71427,-74.00597,8804190,0.95
hotel near galveston beach,Galveston,city,TX,29.30135,-94.7977,50180,0.95
cambria hotel new haven university area,New Haven,city,CT,41.30815,-72.92816,130322,0.95
wilderness resort in wisconsin,Wisconsin,state,WI,,,0,0.93
palm beach medical laser hair,,,,,,0,0.0
dallas arboreteum,Dallas,city,GA,33.92371,-84.84077,12870,0.95
san diego legion,San Diego,city,CA,32.71571,-117.16472,1404452,0.95
"houston texas, teeth whitening",Houston,city,TX,29.76328,-95.36327,2314157,0.95
"disney, orlando",Orlando,city,FL,28.53834,-81.37924,334854,0.95
gold beach inn,,,,,,0,0.0
niagara falls day tour us and canada,Niagara Falls,city,NY,43.0945,-79.05671,48916,0.95
hawaii attraction,Hawaii,state,HI,,,0,0.93
australia vacation,,,,,,0,0.0
chicago crime and mob bus tour,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
stanislaus county fair,Ripon,city,CA,37.74159,-121.12438,15151,0.9
vermont snowboarding,Vermont,state,VT,,,0,0.93
k17,,,,,,0,0.0
las vegas machine gun experience,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
wheel alignment calgary,,,,,,0,0.0
oil change in ventura,Ventura,city,CA,34.27834,-119.29317,96769,0.95
ventura beach hotels california,Ventura,city,CA,34.27834,-119.29317,96769,0.95
car interior detail in la,,,,,,0,0.0
california wold reserve,California,city,MD,38.3004,-76.50745,11857,0.95
san diego haunted tours,San Diego,city,CA,32.71571,-117.16472,1404452,0.95
dog grooming in ventura,Ventura,city,CA,34.27834,-119.29317,96769,0.95
ventura ca hotel,Ventura,city,CA,34.27834,-119.29317,96769,0.95
orange grove ride,Orange,city,TX,30.09299,-93.73655,19347,0.95
things to do in cambria,Christiansburg,city,VA,37.12985,-80.40894,21943,0.9
"boatrides in ventura, ca.",Ventura,city,CA,34.27834,-119.29317,96769,0.95
wheel alignment in ventura,Ventura,city,CA,34.27834,-119.29317,96769,0.95
"hotels in victoria, bc, canada",Victoria,city,TX,28.80527,-97.0036,67574,0.95
washington dc city tour,District of Columbia,region,DC,,,0,0.93
"gilbert shooting range in rockville, md",Gilbert,city,AZ,33.35283,-111.78903,247542,0.95
washington wizards tickets,Washington,city,DC,38.89511,-77.03637,689545,0.95
greensboro; nc,Greensboro,city,NC,36.07264,-79.79198,285342,0.95
motels in washington dc,District of Columbia,region,DC,,,0,0.93
ipl in va,Imperial,city,CA,32.84755,-115.56944,17095,0.9
laserıce,,,,,,0,0.0
haircut coupons in arlington,Arlington,city,TN,35.2962,-89.66147,11625,0.95
grand hyatt new york ave dc,York,city,PA,39.9626,-76.72774,43992,0.95
luray cavern virginia,Virginia,state,VA,,,0,0.93
flights to korea,,,,,,0,0.0
big kalahari,,,,,,0,0.0
greece and egypt,Greece,city,NY,43.20978,-77.69306,14519,0.95
luggage made in italy,,,,,,0,0.0
martinsburg west virginia,Martinsburg,city,WV,39.45621,-77.96389,17700,0.95
bowlero ellicot city,,,,,,0,0.0
washington dc scooter tour,District of Columbia,region,DC,,,0,0.93
body massage in virginia,Virginia,state,VA,,,0,0.93
lulu and georgia,Georgia,state,GA,,,0,0.93
monkton md,,,,,,0,0.0
cypress lenens white comfortor,Cypress,city,TX,29.96911,-95.69717,46025,0.95
all inclusive resort mexico pet friendly,Mexico,city,MO,39.16976,-91.88295,11660,0.95
round trip airfare to seoul korea,,,,,,0,0.0
hawaii tour package,Hawaii,state,HI,,,0,0.93
costa rica 3 day,Dayton,city,OH,39.75895,-84.19161,135512,0.9
virginia wellness,Virginia,state,VA,,,0,0.93
"negirl, jamaica",Jamaica,city,NY,40.69149,-73.80569,216866,0.95
linfático drainage,,,,,,0,0.0
boxing new york,York,city,PA,39.9626,-76.72774,43992,0.95
washington dc bus rides,District of Columbia,region,DC,,,0,0.93
new york  hotel,York,city,PA,39.9626,-76.72774,43992,0.95
mine waterpark in herndon virginia,Herndon,city,VA,38.96955,-77.3861,24568,0.95
philadelphia insectarium and butterfly pavillion,Philadelphia,city,PA,39.95238,-75.16362,1573916,0.95
spa arlington virginia,Arlington,city,TN,35.2962,-89.66147,11625,0.95
washington city tour,Washington,city,DC,38.89511,-77.03637,689545,0.9
water coutry in va,,,,,,0,0.0
nora taste of lebanon,Lebanon,city,MO,37.6806,-92.66379,14688,0.95
"hacienda orosi, costa rica",,,,,,0,0.0
va beach ocean front,,,,,,0,0.0
maryland microblading,Maryland,state,MD,,,0,0.93
trampoline park woodbridge va,Woodbridge,city,NJ,40.5576,-74.28459,19265,0.95
washington monument tickets,Washington,city,DC,38.89511,-77.03637,689545,0.95
"lymphatic drainage massage salisbury, md, 21804",Salisbury,city,MD,38.36067,-75.59937,32899,0.95
"spa deas in washington, dc area",District of Columbia,region,DC,,,0,0.93
1300 pennsylvania ave,Pennsylvania,state,PA,,,0,0.93
washington mandion va,Washington,city,DC,38.89511,-77.03637,689545,0.95
amc loudoun station11,Sterling,city,VA,39.00622,-77.4286,27822,0.9
"1330 maryland ave sw, washington, dc 20024",Maryland,state,MD,,,0,0.93
slingshots las vegas,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
epat machine,,,,,,0,0.0
"super awesome amazing, springfield va",Springfield,city,IL,39.80172,-89.64371,114394,0.95
va beach massage,,,,,,0,0.0
williamsburg new york,York,city,PA,39.9626,-76.72774,43992,0.95
pet care maryland,Maryland,state,MD,,,0,0.93
"olrando florida, disney world",Florida,state,FL,,,0,0.93
houston music,Houston,city,TX,29.76328,-95.36327,2314157,0.95
trampoline park in maryland,Maryland,state,MD,,,0,0.93
beach front hotels ocean city md,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
boat trip on mothersday in maryland,Maryland,state,MD,,,0,0.93
manhattan hotesl,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
"dear viewers, i’ve just returned from my mother’s day trip and would like to share more details of my experience with body sculpt skin laser (bssl). please note that my review includes graphic photos of an injury i sustained. if you are sensitive to such content, i advise you to proceed with caution or refrain from viewing. i arrived at bssl location on may 8, 2025, at 10:45 a.m. for my 11:00 a.m. appointment. the bssl was listed on the wall near the elevators on the 13th floor, along with several other businesses, but no unit number was provided. i noticed a large reception area adjacent to the elevators and hesitated to enter, assuming it belonged to a different company. i called them for clarification and was instructed to wait in the reception area. that’s when i realized bssl operates out of a virtual office.  a few minutes later, the technician/owner arrived, asked me to check in using a qr code, and returned to her office. shortly afterward, she texted to say she needed more time to print some forms. we exchanged a few messages, and i informed her that i have another appointment at 1:00 p.m. in maryland. at approximately 11:45 a.m.—45 minutes after my scheduled appointment—i was finally brought into her office. she asked a few intake questions, including my ethnicity. i suggested that they upload the medical history form (the one she had struggled to print) online, just like their other intake forms, to prevent delays caused by printer issues or missing paperwork. she responded with several unsolicited recommendations, including: 1.	that i should stick with one provider instead of using different providers on groupon.  2.	that i should not travel from maryland to virginia for treatments.  3.	that there is a provider who is my ethnicity practice in maryland, she knows a lot of my ethnicity people go there. i should go there too. she then briefly cleansed my face, took two to three photos, applied eye shields, and began treatment on my forehead. the pain was immediate and intense. i told her it was too painful and asked her to lower the setting. she insisted that the current setting was appropriate for my skin type and refused to adjust it. despite my repeated requests, she would not lower the intensity. i ultimately asked her to stop the treatment. she examined my forehead and said the redness was normal. she then asked for payment. i presented a printed voucher, but she refused to accept it and told me i needed to download an app to produce a qr code for redemption; otherwise, she is going to charge to my credit card on file. frustrated, i told her this was the worst spa experience i had ever had and left the office. as i passed the reception area, i noticed that one of the doctors listed on bssl’s website was present. she had entered the reception area shortly after my arrival. i politely approached her, introduced myself, and showed her the redness on my forehead. while we were speaking, the technician/owner suddenly came out and demanded that i leave. she then escalated the situation by contacting building security, despite my remaining calm and respectful throughout the interaction. around 12:00 p.m., i returned to my car and saw in the mirror that my forehead had three visibly darker areas, in addition to the redness. i rescheduled my 1:00 p.m. appointment and returned to the building, where i remained in the lobby until 1:30 p.m. during that time, i texted and called the technician/owner multiple times but received no response. i also took additional photos of my injury. throughout the afternoon and into the night, i continued attempting to contact her, but received no response. meanwhile, my forehead remained in severe pain, and i had to take pain medication to sleep. the following morning, i visited my dermatologist and was diagnosed with a second-degree burn. i will continue to document and share my recovery process until i am fully healed—or until it is determined whether any permanent damage has occurred.",Normal,city,IL,40.5142,-88.99063,54373,0.95
hot air balloon rides in baltimore,Baltimore,city,MD,39.29038,-76.61219,585708,0.95
washington muystics,Washington,city,DC,38.89511,-77.03637,689545,0.95
premier bottomless mimosa brunch cruise washington dc united states,District of Columbia,region,DC,,,0,0.93
restart spa miami fl,Miami,city,FL,25.77427,-80.19366,487014,0.95
washington dc stop and go tour,District of Columbia,region,DC,,,0,0.93
virginia wine,Virginia,state,VA,,,0,0.93
warrenton va massage,,,,,,0,0.0
photo safari for washington dc,District of Columbia,region,DC,,,0,0.93
"doctors in vienna, va",Vienna,city,VA,38.90122,-77.26526,16522,0.95
wet saunas near upper marlboto maryland,Maryland,state,MD,,,0,0.93
"food near laurel, md",Laurel,city,MD,39.09928,-76.84831,26215,0.95
"ocean city hi,ton",Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
northern virginia roofing,Virginia,state,VA,,,0,0.93
hotels in miami beach florida,Miami Beach,city,FL,25.79065,-80.13005,92312,0.95
golf at east potomac,Potomac,city,MD,39.01817,-77.20859,44965,0.95
botox pensacola florida,Pensacola,city,FL,30.42131,-87.21691,53724,0.95
san juan puerto ric,San Juan,city,TX,26.18924,-98.15529,36556,0.95
private tour washington dc,District of Columbia,region,DC,,,0,0.93
hollday inn in alexandria va 22302,Alexandria,city,LA,31.31129,-92.44514,47889,0.95
tattoo in riverdale md.,Riverdale,city,GA,33.57261,-84.41326,15989,0.95
winshiked replacemtn colorado sporinfgs,Colorado,state,CO,,,0,0.93
serenity head spa springfield,Springfield,city,IL,39.80172,-89.64371,114394,0.95
gun license in maryland,Maryland,state,MD,,,0,0.93
car detail service maryland,Maryland,state,MD,,,0,0.93
tours of portland oregon,Oregon,city,OH,41.64366,-83.48688,20102,0.95
moving companies in washington dc,District of Columbia,region,DC,,,0,0.93
washington dc tour bus,District of Columbia,region,DC,,,0,0.93
birginia beach,,,,,,0,0.0
hotel near mayo beach md,,,,,,0,0.0
hotel stays in new jersey,New Jersey,state,NJ,,,0,0.93
alaska magazine,Alaska,state,AK,,,0,0.93
shoreline chicago tour,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
"resort, pannsylvania",,,,,,0,0.0
"kissimmee, florida massages",Kissimmee,city,FL,28.30468,-81.41667,69152,0.95
rockport massachusetts,Rockport,city,TX,28.02077,-97.05601,10490,0.95
nieves dance bronx,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
"paris, france baking classes",Paris,city,TN,36.302,-88.32671,10150,0.95
"restaurants in white plains, new york for lunch or brunch",White Plains,city,NY,41.03399,-73.76291,58459,0.95
facials bronx ny,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
lombard chicago,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
vatalina flyer,,,,,,0,0.0
las vegas  deals,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
dallas cowboy cooler,Dallas,city,GA,33.92371,-84.84077,12870,0.95
valvoline milwaukee wi,Milwaukee,city,WI,43.0389,-87.90647,563531,0.95
toronto ont,Ontario,city,CA,34.06334,-117.65089,171214,0.9
linkin park zoo,,,,,,0,0.0
"carlisle, sarasota fl",Sarasota,city,FL,27.33643,-82.53065,55118,0.95
escape rooms medina ohio,Medina,city,OH,41.13839,-81.86375,26339,0.95
paul mitchell the school milwaukee,Milwaukee,city,WI,43.0389,-87.90647,563531,0.95
ferry new york,York,city,PA,39.9626,-76.72774,43992,0.95
kansas city greatwolf,Kansas City,city,KS,39.11417,-94.62746,152933,0.95
san diego  motels,San Diego,city,CA,32.71571,-117.16472,1404452,0.95
vermilion ohio,Vermilion,city,OH,41.42199,-82.36461,10434,0.95
bowling chesapeake virginia,Chesapeake,city,VA,36.81904,-76.27494,235429,0.95
eforea spa in orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
"salt lake , utah",Utah,state,UT,,,0,0.93
rhode island new port,Rhode Island,state,RI,,,0,0.93
"spas in the woodlands, texas",The Woodlands,city,TX,30.15799,-95.48938,93847,0.95
"hydra facial, sacramento",Sacramento,city,CA,38.58157,-121.4944,524943,0.95
port san joe beach,San Diego,city,CA,32.71571,-117.16472,1404452,0.9
massage in las vegas nevada,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
miami rental boats,Miami,city,FL,25.77427,-80.19366,487014,0.95
los angeles ca bus tour,Los Angeles,city,CA,34.05223,-118.24368,3820914,0.95
golf dallas texas,Dallas,city,GA,33.92371,-84.84077,12870,0.95
surf lessons manhattan beach,Manhattan Beach,city,CA,33.88474,-118.41091,35818,0.95
ship wreck island panama,Panama City,city,FL,30.15946,-85.65983,38286,0.9
dallas  cowboys cooler,Dallas,city,GA,33.92371,-84.84077,12870,0.95
derby donut,Derby,city,KS,37.54557,-97.26893,23509,0.95
montego bay resort,Bay Village,city,OH,41.48477,-81.92208,15402,0.9
sacramento ca. manicures,Sacramento,city,CA,38.58157,-121.4944,524943,0.95
things to do in rome,Rome,city,GA,34.25704,-85.16467,36323,0.95
visit orlando florida,Orlando,city,FL,28.53834,-81.37924,334854,0.95
atlantic city hotels smoking acccesible,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
maryland bonfire permit promo code,Maryland,state,MD,,,0,0.93
boat rides in dewey beach delaware,Delaware,city,OH,40.29867,-83.06797,37995,0.95
"milton, delaware",Delaware,city,OH,40.29867,-83.06797,37995,0.95
marriott in atlanta georgia,Atlanta,city,GA,33.749,-84.38798,510823,0.95
cruises in delaware,Delaware,city,OH,40.29867,-83.06797,37995,0.95
all inclusive vacations dominican republic punta c,Republic,city,MO,37.12005,-93.48019,16005,0.95
canal cruise in amsterdam,Amsterdam,city,NY,42.93869,-74.18819,18008,0.95
rusty wallace dover downs,Dover,city,DE,39.15817,-75.52437,39403,0.95
berlin  md,North Canton,city,OH,40.87589,-81.40234,17441,0.9
madison beach motel,Madison,city,AL,34.69926,-86.74833,46962,0.95
wyndham connecticut,Connecticut,state,CT,,,0,0.93
reaorta,,,,,,0,0.0
big kahuna water park nj,,,,,,0,0.0
ocean city restaurant,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
ocean city go carts,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
las vegas  nevada,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
hotels in ocean city naryland,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
bethany beach ocean suites residence inn,Bethany,city,OK,35.51867,-97.63226,19589,0.95
"parking 338 w 58th st, new york, ny 10019, usa",York,city,PA,39.9626,-76.72774,43992,0.95
"delaware, maryland",Delaware,city,OH,40.29867,-83.06797,37995,0.95
"hotels in dover, de 19901",Dover,city,DE,39.15817,-75.52437,39403,0.95
head massage in delaware,Delaware,city,OH,40.29867,-83.06797,37995,0.95
nashville side by side,Nashville,city,TN,36.16589,-86.78444,689447,0.95
atlantic city casino overnight stays,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
high intensity trainer in michigan,Michigan,state,MI,,,0,0.93
duc k toure boston,Boston,city,MA,42.35843,-71.05977,653833,0.95
missouri star quilt company coupons,Missouri,state,MO,,,0,0.93
parking at manhattan,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
polar caves new hampshire,New Hampshire,state,NH,,,0,0.93
shockwave therapy massachusetts,Massachusetts,state,MA,,,0,0.93
anchorage inn york me,Anchorage,city,AK,61.21806,-149.90028,289600,0.95
myrtle beach parasailing,Myrtle Beach,city,SC,33.68906,-78.88669,31035,0.95
"wilton, new hampshire",Wilton,city,CT,41.19537,-73.4379,18062,0.95
new york downtown bus,York,city,PA,39.9626,-76.72774,43992,0.95
huron ohio hotels,Huron,city,SD,44.36332,-98.21426,13313,0.95
ohio marijuanacard,Ohio,state,OH,,,0,0.93
feelnu medi spa hair removal,Spartanburg,city,SC,34.94957,-81.93205,37867,0.9
ohio getaway,Ohio,state,OH,,,0,0.93
travel italy central,Central,city,LA,30.55435,-91.03677,28295,0.95
wildwoods beach new jersey,New Jersey,state,NJ,,,0,0.93
medical marijuana card for ohio,Ohio,state,OH,,,0,0.93
champion ohio,Ohio,state,OH,,,0,0.93
whale watching tour vancouver canada,Vancouver,city,WA,45.63873,-122.66149,196442,0.95
vacarions south padre island,,,,,,0,0.0
ago museum toronto,Magnolia,city,AR,33.26707,-93.23933,11669,0.9
real estate post license 30 hours indiana,Indiana,city,PA,40.62146,-79.15253,14100,0.95
laser hair removal canton ohio,Canton,city,GA,34.23676,-84.49076,25469,0.95
pompei exhibition,,,,,,0,0.0
escape room cleveland ohio,Cleveland,city,MS,33.744,-90.72482,12327,0.95
hatfueld nd mccoys tenn pigeon forge,Mastic,city,NY,40.80204,-72.84094,15481,0.9
tire youngstown ohio,Youngstown,city,OH,41.09978,-80.64952,64628,0.95
hcking hills,,,,,,0,0.0
ninteno switch,,,,,,0,0.0
"nail deals in canton, ohio",Canton,city,GA,34.23676,-84.49076,25469,0.95
hotels akron ohio,Akron,city,OH,41.08144,-81.51901,197542,0.95
"ticonderoga, new york",York,city,PA,39.9626,-76.72774,43992,0.95
coral myrtle beach,Myrtle Beach,city,SC,33.68906,-78.88669,31035,0.95
essex vermont,Essex,city,MD,39.30927,-76.47496,39262,0.95
pirates orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
scotty’s motel in lake george new york,York,city,PA,39.9626,-76.72774,43992,0.95
new york red,York,city,PA,39.9626,-76.72774,43992,0.95
new york otels,York,city,PA,39.9626,-76.72774,43992,0.95
cruis3,,,,,,0,0.0
los lunas messages,Los Lunas,city,NM,34.80617,-106.73336,15336,0.95
las vegas lextor,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
rouge show in las vegas,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
hotels in santa fee,,,,,,0,0.0
denver downtown hotel,Denver,city,CO,39.73915,-104.9847,729019,0.95
escape rooms in albuquerque new mexico,Albuquerque,city,NM,35.08449,-106.65114,564559,0.95
san diego zoosan diego zoo tickets,San Diego,city,CA,32.71571,-117.16472,1404452,0.95
hotels po,,,,,,0,0.0
orlando universal ticket,Orlando,city,FL,28.53834,-81.37924,334854,0.95
"niagara falls ontario, canada",Ontario,city,CA,34.06334,-117.65089,171214,0.95
manhattan helicopter,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
jimthorpe,,,,,,0,0.0
nzxt computer,,,,,,0,0.0
"homer, alaska",Alaska,state,AK,,,0,0.93
strasburg pennsylvania,Pennsylvania,state,PA,,,0,0.93
new jersey shore horel,New Jersey,state,NJ,,,0,0.93
stroudsburg pa gel nails,Niles,city,OH,41.18284,-80.76536,18651,0.9
resort in puerto plata dominican republic,Republic,city,MO,37.12005,-93.48019,16005,0.95
crayola factory easton pennsylvania,Easton,city,MD,38.77428,-76.07633,16617,0.95
camel beach park,Beach Park,city,IL,42.42224,-87.8573,13976,0.95
nashville madame tussauds,Nashville,city,TN,36.16589,-86.78444,689447,0.95
"egg works, las vegas",Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
airfare to dublin ireland,Dublin,city,GA,32.54044,-82.90375,16197,0.95
camel beach outdoor waterpark,,,,,,0,0.0
colorado springs fishing,Colorado Springs,city,CO,38.83388,-104.82136,456568,0.95
palm beach tans amarillo,Amarillo,city,TX,35.222,-101.8313,198645,0.95
things to do in ogden utah,Ogden,city,UT,41.223,-111.97383,85444,0.95
food alaska,Alaska,state,AK,,,0,0.93
alaska wildlife recuge,Alaska,state,AK,,,0,0.93
"atlanta, gerogia",Atlanta,city,GA,33.749,-84.38798,510823,0.95
michigan advntures,Michigan,state,MI,,,0,0.93
florida animal kingdom,Florida,state,FL,,,0,0.93
tipsi ypsi,,,,,,0,0.0
walworth county fairground wi,,,,,,0,0.0
"hendersonville,",Hendersonville,city,NC,35.31873,-82.46095,13814,0.95
the atlanta aquarium,Atlanta,city,GA,33.749,-84.38798,510823,0.95
legrange georgia,Georgia,state,GA,,,0,0.93
lanier island water park,,,,,,0,0.0
restaurants in newnan,Newnan,city,GA,33.38067,-84.79966,37291,0.95
beachfront south carolina,South Carolina,state,SC,,,0,0.93
the parking spot atlanta ga,Atlanta,city,GA,33.749,-84.38798,510823,0.95
myrt!e beach,,,,,,0,0.0
orange beach condo,Orange,city,TX,30.09299,-93.73655,19347,0.95
golf lessons in charlotte,Charlotte,city,NC,35.22709,-80.84313,911311,0.95
activity in georgia for kids,Georgia,state,GA,,,0,0.93
atlanta family,Atlanta,city,GA,33.749,-84.38798,510823,0.95
abraza skin studio,,,,,,0,0.0
"barranquilla,colombia",,,,,,0,0.0
sev hair removal atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
botanical garden georgia,Georgia,state,GA,,,0,0.93
malibu norcross amusement park,Norcross,city,GA,33.94121,-84.21353,16634,0.95
"cancun, mexico trs",Mexico,city,MO,39.16976,-91.88295,11660,0.95
trap museum atlanta ga,Atlanta,city,GA,33.749,-84.38798,510823,0.95
texas coalition animo,Texas,state,TX,,,0,0.93
atlanta best,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta stone massage,Atlanta,city,GA,33.749,-84.38798,510823,0.95
